,symbol,price_init,pred_price,pred_pct,obs_price,obs_pct,highest_price,highest_pct,highest_pct_day,bool,Open0,High0,Low0,Close0,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4,Open5,High5,Low5,Close5,Open6,High6,Low6,Close6,Open7,High7,Low7,Close7,Open8,High8,Low8,Close8,Open9,High9,Low9,Close9
36,AEO,26.709999084472656,26.881259969320567,0.6411864122731046,27.610000610351562,3.3695303509093146,28.0,4.8296554090009725,1,True,27.200000762939453,28.329999923706055,27.139999389648438,27.610000610351562,27.270000457763672,28.09000015258789,27.100000381469727,28.0,28.100000381469727,28.75,27.739999771118164,27.809999465942383,27.6200008392334,28.0,27.31999969482422,27.790000915527344,28.200000762939453,28.239999771118164,27.200000762939453,27.440000534057617,27.100000381469727,27.110000610351562,25.790000915527344,25.799999237060547,26.010000228881836,26.440000534057617,25.329999923706055,26.139999389648438,26.030000686645508,26.670000076293945,25.579999923706055,25.739999771118164,25.809999465942383,26.15999984741211,23.6200008392334,24.700000762939453,24.15999984741211,24.6299991607666,23.719999313354492,24.149999618530273
180,BURL,296.7300109863281,298.1307748886426,0.4720668117317582,303.2799987792969,2.207389731559893,307.8399963378906,3.744139433228543,2,True,299.4200134277344,305.989990234375,296.239990234375,303.2799987792969,301.989990234375,308.0,300.2099914550781,304.8599853515625,306.4100036621094,314.7099914550781,306.4100036621094,307.8399963378906,307.3500061035156,307.55999755859375,300.4200134277344,303.07000732421875,305.3800048828125,308.79998779296875,302.9599914550781,303.17999267578125,301.29998779296875,301.29998779296875,283.010009765625,283.57000732421875,284.2799987792969,288.7799987792969,281.260009765625,284.94000244140625,282.7200012207031,285.760009765625,275.67999267578125,277.239990234375,277.2699890136719,282.7799987792969,276.2300109863281,277.42999267578125,274.989990234375,277.8399963378906,269.55999755859375,270.55999755859375
231,CL,76.43000030517578,76.50501289677851,0.09814548122885255,76.66999816894531,0.3140100259207755,77.08000183105469,0.8504533864758976,4,True,76.7300033569336,76.91000366210938,76.30999755859375,76.66999816894531,76.5999984741211,76.94999694824219,76.5,76.62999725341797,76.5,76.66000366210938,75.91999816894531,76.01000213623047,75.62000274658203,76.16000366210938,75.41000366210938,75.81999969482422,75.81999969482422,77.36000061035156,75.69000244140625,77.08000183105469,77.12000274658203,77.29000091552734,75.58000183105469,75.58000183105469,75.8499984741211,76.0199966430664,75.06999969482422,75.58000183105469,75.51000213623047,75.93000030517578,74.61000061035156,75.05999755859375,75.0,75.08000183105469,74.37000274658203,74.41999816894531,74.06999969482422,75.19000244140625,74.01000213623047,75.0999984741211
596,LMND,71.70999908447266,71.7439186207556,0.04730098551944761,71.25,-0.6414713294456863,71.87000274658203,0.2231260133205336,2,True,72.11000061035156,72.7699966430664,71.0999984741211,71.25,71.0199966430664,71.2300033569336,68.94000244140625,69.72000122070312,69.9000015258789,72.6500015258789,68.67400360107422,71.87000274658203,70.33999633789062,71.28399658203125,67.0199966430664,67.20999908447266,67.9800033569336,68.43000030517578,64.87000274658203,65.66999816894531,66.5,67.55000305175781,65.05999755859375,67.01000213623047,67.37999725341797,67.48999786376953,63.709999084472656,64.70999908447266,64.16999816894531,64.30999755859375,61.04999923706055,61.869998931884766,62.900001525878906,65.08000183105469,62.2400016784668,62.939998626708984,62.41999816894531,64.72000122070312,61.790000915527344,64.05999755859375
987,TREE,153.97999572753906,157.97864618660887,2.5968635991815803,157.61000061035156,2.3574522558343465,157.61000061035156,2.3574522558343465,0,True,154.2100067138672,157.83999633789062,152.07000732421875,157.61000061035156,157.36000061035156,160.5500030517578,154.25999450683594,154.5,156.1300048828125,156.22999572753906,152.17999267578125,152.39999389648438,152.0500030517578,152.0500030517578,141.08999633789062,141.92999267578125,142.0,143.77000427246094,138.67999267578125,140.02999877929688,141.2899932861328,141.5,136.5,139.8300018310547,140.75999450683594,141.5,137.1199951171875,139.1699981689453,137.9199981689453,137.9199981689453,130.41000366210938,133.5800018310547,134.9199981689453,135.5500030517578,132.1199951171875,133.41000366210938,132.1999969482422,135.8000030517578,130.02000427246094,133.22000122070312
