,symbol,price_init,pred_price,pred_pct,obs_price,obs_pct,highest_price,highest_pct,highest_pct_day,bool,Open0,High0,Low0,Close0,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4,Open5,High5,Low5,Close5,Open6,High6,Low6,Close6,Open7,High7,Low7,Close7,Open8,High8,Low8,Close8,Open9,High9,Low9,Close9
283,CTRN,20.780000686645508,20.8909486616335,0.5339170900956468,21.040000915527344,1.2512041399927762,21.40999984741211,3.031757170111536,8,True,20.8799991607666,21.100000381469727,20.739999771118164,21.040000915527344,21.1200008392334,21.389999389648438,20.799999237060547,20.829999923706055,20.700000762939453,21.010000228881836,20.049999237060547,20.3799991607666,20.479999542236328,20.790000915527344,20.139999389648438,20.709999084472656,20.760000228881836,21.100000381469727,20.190000534057617,21.09000015258789,21.100000381469727,21.1200008392334,20.690000534057617,20.940000534057617,20.889999389648438,20.940000534057617,20.579999923706055,20.81999969482422,20.790000915527344,20.940000534057617,20.459999084472656,20.829999923706055,20.940000534057617,21.43000030517578,20.940000534057617,21.40999984741211,21.3700008392334,21.530000686645508,21.010000228881836,21.350000381469727
567,KIRK,13.760000228881836,13.624506085932477,-0.9846957899387236,14.729999542236328,7.049413497235939,15.430000305175781,12.13662825955965,7,True,13.850000381469727,14.729999542236328,13.75,14.729999542236328,14.520000457763672,14.6899995803833,13.890000343322754,14.3100004196167,14.199999809265137,14.479999542236328,13.850000381469727,14.109999656677246,14.170000076293945,14.4399995803833,13.600000381469727,14.390000343322754,14.420000076293945,14.479999542236328,14.029999732971191,14.460000038146973,14.5,14.600000381469727,14.3100004196167,14.510000228881836,14.510000228881836,15.600000381469727,14.359999656677246,15.15999984741211,15.039999961853027,15.550000190734863,14.399999618530273,15.430000305175781,15.520000457763672,15.880000114440918,15.239999771118164,15.329999923706055,15.369999885559082,15.699999809265137,14.829999923706055,14.90999984741211
826,RCKY,10.520000457763672,10.562210211519758,0.4012333832641188,11.050000190734863,5.038020056168876,11.779999732971191,11.977178900953856,1,True,10.520000457763672,11.170000076293945,10.520000457763672,11.050000190734863,11.050000190734863,11.9399995803833,11.050000190734863,11.779999732971191,11.65999984741211,11.760000228881836,11.260000228881836,11.289999961853027,11.319999694824219,11.609999656677246,11.220000267028809,11.40999984741211,11.550000190734863,11.779999732971191,11.34000015258789,11.630000114440918,11.649999618530273,11.960000038146973,11.600000381469727,11.630000114440918,11.760000228881836,11.770000457763672,11.600000381469727,11.680000305175781,11.699999809265137,11.699999809265137,11.319999694824219,11.529999732971191,11.640000343322754,11.9399995803833,11.369999885559082,11.670000076293945,11.6899995803833,11.739999771118164,11.300000190734863,11.359999656677246
